"customTargetingKeyId","customerTargetingName","customTargetingDisplay","customTargetingType","customTargetingStatus","id","name","displayName","matchType","status"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330299827","lund",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330300067","malibu",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330300307","manitoupontoons",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330300547","mariah",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330300787","mastercraft",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330301027","mistyharbor",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330301267","moomba",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330301507","nauticstar",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330301747","nautique",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330301987","nitro",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330302227","pathfinder",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330302467","phoenix",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330302707","playcraft",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330302947","premierpontoons",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330303187","ranger",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330303427","sanger",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330303667","scarab",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330303907","seachaser",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330304147","seapro",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330304387","seaswirl",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330304627","shearwater",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330304867","skeeter",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330305107","smokercraft",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330305347","southbay",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330305587","sportsman",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330305827","starcraft",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330306067","stingray",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330306307","stratos",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330306547","sunsation",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330306787","suntracker",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330307027","supra",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330307267","sweetwater",,"EXACT","ACTIVE"
"136267","make","MAKE_BRAND","PREDEFINED","ACTIVE","120330307507","sylvan",,"EXACT","ACTIVE"
